Time Initiated,OriginalTransactionID,RefundTransactionID,Amount,Status
2021-10-26 19:39:21 UTC,29q3011a,7rtvvr70,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:21 UTC,2p3ttz7s,hca4qytm,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:22 UTC,49bpznnq,qs9narjc,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:23 UTC,4gsrfv00,9c2r0emy,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:23 UTC,4r7t00a9,cjjg9vgt,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:24 UTC,5p000nkd,bryj7g9v,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:25 UTC,60qv2p5t,a5pp2svx,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:26 UTC,7r3z5pnx,f1xnp9kt,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:26 UTC,7x2ngfj3,nex693bj,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:27 UTC,9gahn601,rncyjg7e,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:28 UTC,9hzee3m3,0mprbzpc,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:28 UTC,afqmerx7,gn5hv01r,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:29 UTC,aykqf3hs,denshk5w,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:30 UTC,b3jdswdz,71p8yse4,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:31 UTC,bm3dk4pk,k21c21pn,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:31 UTC,byv8n590,a86186a0,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:32 UTC,efvath02,mn986r4k,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:33 UTC,f5b0yj4w,22d5gntt,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:33 UTC,f9f8ww71,62gvwdxn,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:34 UTC,jbts7z0r,h980xaz7,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:35 UTC,jyv46kqf,990m5tsh,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:35 UTC,n7jpfba7,4f8zqqfq,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:36 UTC,p4ge3hsa,kp3v4cm4,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:37 UTC,pppanqp0,e2r8ky3b,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:37 UTC,pttjm1r5,j2vyzp66,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:38 UTC,q9pnmccq,eeaj2dfs,10.0,Transaction has already been fully refunded.
2021-10-26 19:39:39 UTC,qz6brdhh,81b1fkr1,10.0,Transaction has already been fully refunded.
